Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
2019,9193.00,22263.00,34951.00,39218.00,39070.00,44915.00,47581.00,49793.00,38681.00,36691.00,25212.00,22062.00,409630.00
2018,15986.00,24878.00,30668.00,37565.00,33616.00,39141.00,49533.00,39684.00,31267.00,26844.00,21703.00,15365.00,366250.00
2017,18887.00,20325.00,32263.00,33888.00,37528.00,44852.00,56194.00,40750.00,33063.00,25495.00,23696.00,16746.00,383687.00
2016,15710.00,20168.00,28054.00,26142.00,33476.00,39342.00,49119.00,45123.00,39450.00,28906.00,20029.00,19288.00,364807.00
2015,19847.00,21653.00,29901.00,23479.00,34023.00,33193.00,46749.00,35392.00,24994.00,21871.00,18913.00,14801.00,324816.00
2014,18927.00,21183.00,32109.00,25698.00,32869.00,43584.00,50470.00,39208.00,27100.00,18271.00,17923.00,14819.00,342161.00
2013,12800.00,10671.00,15541.00,18927.00,21009.00,24797.00,27997.00,26273.00,18851.00,7193.00,13638.00,14332.00,212029.00
2012,15786.00,17918.00,20902.00,19663.00,24524.00,29404.00,36269.00,33227.00,24867.00,19904.00,4999.00,2131.00,249594.00
2011,14343.00,5384.00,16432.00,24939.00,20563.00,27136.00,38637.00,30872.00,21264.00,19337.00,11667.00,12182.00,242756.00
2010,19213.00,23044.00,24377.00,22903.00,26806.00,27992.00,29118.00,32454.00,22813.00,16520.00,19691.00,12584.00,277515.00
2009,17352.00,24320.00,35244.00,36596.00,39758.00,29663.00,42749.00,46835.00,29820.00,19619.00,14275.00,12514.00,348745.00
2008,13861.00,19698.00,30885.00,29361.00,22006.00,36709.00,46116.00,46593.00,30425.00,23139.00,18847.00,14537.00,332177.00
2007,16087.00,23541.00,38890.00,35241.00,30366.00,37646.00,43741.00,43895.00,36658.00,21340.00,16468.00,16933.00,360806.00
2006,16009.00,22396.00,30129.00,35366.00,32466.00,39562.00,50276.00,51456.00,36954.00,23665.00,21689.00,15288.00,375256.00
2005,19573.00,21574.00,41489.00,40623.00,38757.00,61422.00,64849.00,52469.00,42447.00,28700.00,22204.00,0.00,434107.00
2004,37978.00,30637.00,40684.00,56831.00,61310.00,58033.00,62994.00,79304.00,61629.00,26026.00,13107.00,9183.00,537716.00
2003,39792.00,32769.00,39387.00,43248.00,57610.00,66795.00,71851.00,74376.00,55783.00,41312.00,31566.00,31430.00,585919.00
2002,36653.00,39572.00,53729.00,68305.00,73469.00,56850.00,60572.00,69022.00,54380.00,37715.00,32613.00,31055.00,613935.00
2001,32316.00,27664.00,32570.00,42779.00,57457.00,52617.00,60541.00,66809.00,45530.00,43007.00,29532.00,29606.00,520428.00
2000,25593.00,22835.00,36054.00,40524.00,53695.00,51410.00,58609.00,59677.00,55317.00,25547.00,25772.00,27538.00,482571.00
1999,35545.00,33800.00,45707.00,51502.00,67729.00,49562.00,82870.00,68762.00,51389.00,53603.00,37893.00,28695.00,607057.00
1998,28012.00,18921.00,42505.00,47879.00,66763.00,58043.00,64375.00,75567.00,58488.00,49207.00,43226.00,21284.00,574270.00
1997,50357.00,34209.00,42654.00,38662.00,44930.00,43013.00,55698.00,61455.00,39266.00,30128.00,30279.00,18106.00,488757.00
1996,30975.00,33763.00,44735.00,29569.00,49880.00,58675.00,58793.00,59818.00,44349.00,29946.00,32510.00,17702.00,490715.00
1995,17214.00,31442.00,35350.00,38046.00,37915.00,39637.00,72446.00,98958.00,53242.00,47251.00,43371.00,11010.00,525882.00
1994,16233.00,9889.00,10897.00,14224.00,10717.00,12325.00,23520.00,25357.00,17069.00,15732.00,10057.00,9206.00,175226.00
1993,14405.00,9069.00,8631.00,13048.00,16138.00,13866.00,23904.00,25913.00,17685.00,20382.00,13349.00,8477.00,184867.00
1992,14090.00,9911.00,11527.00,13683.00,16830.00,14340.00,18813.00,11384.00,18785.00,16457.00,13644.00,9717.00,169181.00
1991,12309.00,6946.00,9252.00,9250.00,15562.00,9646.00,15962.00,19651.00,16067.00,14059.00,11377.00,9182.00,149263.00
1990,11640.00,7101.00,8183.00,11908.00,9579.00,10708.00,16876.00,22035.00,6852.00,15878.00,13385.00,9938.00,144083.00
1989,13244.00,9172.00,10289.00,10542.00,12249.00,11313.00,19689.00,17787.00,16051.00,12604.00,10953.00,8769.00,152662.00
1988,14484.00,10178.00,12457.00,11288.00,13900.00,10947.00,19317.00,21977.00,19041.00,13984.00,11321.00,9698.00,168592.00
