CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6347845,2016,2016-03-24,4203,2016-03-11,0830,7570,61,5,5,5,4203,0,0,0,,0,001,"E CANON PERDIDO","SALSIPUEDES ST",207.00,E,N,B,-,N,,,,,,,,,,N,4,0,1,2,D,-,00,,,F,G,B,D,B,H,-,A,D,0,Y,,,,Y,,-,"- ",0,0,1,0,1,0,0,0,0,"- ","- ",34.427399999999999,-119.6932,"SANTA BARBARA","SANTA BARBARA",-119.69331015,34.427379029999997
6347909,2016,2016-03-23,4203,2016-03-11,1324,7774,,5,5,5,4203,0,0,0,,0,002,"SAN PASCUAL ST","W COTA ST",0.00,,Y,C,-,N,,,,,,,,,,N,4,0,1,2,A,-,09,21802,A,N,D,C,A,B,H,-,A,A,0,,,,,Y,,-,,0,0,1,0,0,0,0,0,0,"- ","- ",34.244120000000002,-119.42127000000001,"SANTA BARBARA","SANTA BARBARA",-119.70349998,34.411450010000003
6347917,2016,2017-02-11,4203,2016-03-11,1440,22857,,5,5,5,4203,0,0,0,,0,002,"S MILPAS ST","RT 101",36.00,S,N,B,-,Y,SB,5,101,-,-,12.859,R,4,S,Y,4,0,1,2,D,-,00,,,F,D,C,A,B,H,-,A,A,0,,,,,Y,,-,"- ",0,0,1,0,0,0,0,0,0,"- ",SF,34.251100000000001,-119.40349999999999,"SANTA BARBARA","SANTA BARBARA",-119.67900561,34.420157459999999
7151393,2016,2016-01-14,4204,2016-01-06,0119,90322,38,3,5,5,4204,0,0,0,,0,002,"SUEY RD","JONATHAN PL",200.00,N,N,A,-,N,,,,,,,,,,Y,4,0,2,2,A,-,08,22107,,F,E,I,A,B,H,-,C,D,0,,,,,Y,,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",34.954479999999997,-120.40898,"SANTA BARBARA","SANTA MARIA",-120.40902403,34.95504931
7152003,2016,2016-08-24,4203,2016-01-02,0630,22854,,6,5,5,4203,0,0,0,,0,005,"STATE ST","RT 101",297.00,E,N,A,-,N,,,,,,,,,,Y,3,0,1,2,A,-,09,21804,A,N,D,C,A,A,H,-,B,D,0,,,,,Y,,-,,0,1,0,0,0,0,0,0,0,"- ",NF,34.262500000000003,-119.4511,"SANTA BARBARA","SANTA BARBARA",-119.75555,34.440300000000001
7153318,2016,2016-01-15,4200,2016-01-06,0745,3637,10,3,5,3,4205,0,0,0,,0,030,"CASITAS PASS RD","SHEMARA ST",0.00,,Y,C,-,N,,,,,,,,,,Y,4,0,1,2,A,-,09,21802,A,N,D,C,A,B,H,-,A,A,0,,,,,Y,,-,,0,0,1,0,0,0,0,0,0,"- ","- ",,,"SANTA BARBARA",CARPINTERIA,-119.50670997,34.402480009999998
7155441,2016,2016-01-15,4203,2016-01-08,1715,5086,,5,5,5,4203,0,0,0,,0,002,"W MONTECITO ST","CASTILLO ST",0.00,W,N,A,-,N,,,,,,,,,,N,4,0,1,3,D,-,00,,,F,B,C,A,A,H,-,A,A,0,,,,,Y,,-,"- ",0,0,1,0,0,0,0,0,0,"- ","- ",34.410690000000002,-119.69752,"SANTA BARBARA","SANTA BARBARA",-119.69748988000001,34.410680040000003
7155445,2016,2016-01-25,4203,2016-01-07,1730,6983,,4,5,5,4203,0,0,0,,0,006,"CLIFF DR","MESA LN",528.00,W,N,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,07,21658,A,N,C,C,A,A,H,-,D,D,0,,,,,Y,,-,,0,0,1,0,0,0,0,0,0,"- ","- ",34.241599999999998,-119.4358,"SANTA BARBARA","SANTA BARBARA",-119.73194044,34.404059510000003
7155453,2016,2016-01-15,4203,2016-01-04,2258,1436,,1,5,5,4203,0,0,0,,0,004,"DE LA VINA ST","VALERIO ST",0.00,,Y,A,-,N,,,,,,,,,,Y,4,0,2,2,A,-,08,22103,,N,-,C,A,A,H,-,C,A,0,,,,,Y,,-,,0,0,2,0,0,0,0,0,0,"- ","- ",34.425930000000001,-119.71301,"SANTA BARBARA","SANTA BARBARA",-119.71312999,34.425910000000002
7155457,2016,2016-01-15,4203,2016-01-08,2026,7570,56,5,5,5,4203,0,0,0,,0,005,"STATE ST","PLAZA DR",126.00,W,N,A,-,N,,,,,,,,,,N,4,0,2,2,A,-,03,22350,,N,C,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",34.440359999999998,-119.74889,"SANTA BARBARA","SANTA BARBARA",-119.74932758,34.440489999999997
7155473,2016,2016-01-15,4203,2016-01-06,1312,6700,35,3,5,5,4203,0,0,0,,0,004,"MISSION ST","CHAPALA ST",54.00,W,N,B,C,N,,,,,,,,,,Y,4,0,1,2,A,-,08,22107,,N,B,E,A,B,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",34.429630000000003,-119.71605,"SANTA BARBARA","SANTA BARBARA",-119.71592273,34.429682110000002
7155477,2016,2016-01-15,4203,2016-01-06,1745,6967,,3,5,5,4203,0,0,0,,0,001,"N MILDAS ST","E MONTECITO ST",0.00,,Y,B,C,N,,,,,,,,,,N,4,0,1,2,A,-,10,21950,A,N,G,B,B,B,B,-,C,A,0,Y,,,,Y,,-,,0,0,1,0,1,0,0,0,0,"- ","- ",34.253,-119.42010000000001,"SANTA BARBARA","SANTA BARBARA",-119.68280987999999,34.424460009999997
7155485,2016,2016-01-15,4203,2016-01-06,2244,5751,,3,5,5,4203,0,0,0,,0,003,"E HALEY ST","GARDEN ST",0.00,,Y,C,-,N,,,,,,,,,,Y,4,0,1,2,A,-,12,21453,A,N,D,C,A,B,H,-,C,A,0,,,,,Y,,-,,0,0,1,0,0,0,0,0,0,"- ","- ",34.251199999999997,-119.4131,"SANTA BARBARA","SANTA BARBARA",-119.69211994,34.420009999999998
7169532,2016,2016-01-28,4204,2016-01-07,1045,90081,69,4,5,5,4204,0,0,0,,0,003,STOWELL,CONCEPCION,580.00,E,N,A,C,N,,,,,,,,,,Y,4,0,3,2,A,-,08,22107,,N,D,C,A,B,H,-,A,D,0,,,,,Y,,A,01,0,0,3,0,0,0,0,0,0,"- ","- ",,,"SANTA BARBARA","SANTA MARIA",-120.42068566,34.938350839999998
7169536,2016,2016-01-28,4204,2016-01-08,1558,18261,32,5,5,5,4204,0,0,0,,0,002,"BLOSSER RD",MAIN,830.00,N,N,B,-,N,,,,,,,,,,Y,4,0,1,2,A,-,09,21804,,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",34.953209999999999,-120.45367,"SANTA BARBARA","SANTA MARIA",-120.45371,34.953310000000002
